Handle,craft,fabric,color,Product Types
charlotte-anarkali-set,Thread Embroidery,"Chanderi, Mulmul, Cotton",Blue,Anarkali Set
sandra-jumpsuit,"Sequin Embroidery, Pearl Work",Georgette,Blue,Jumpsuit
leaden-gharara-set,"Sequin Embroidery, Pearl Work","Georgette, Organza",Green,Gharara Set
vine-kurta-set,"Thread Embroidery, Bead Work",Munga,Yellow,Kurta Set
blossoms-tunic-set,"Thread Embroidery, Bead Work","Organza, Tussar",Pink,Tunic Set
karol-tunic,"Thread Embroidery, Bead Work",Organza,Green,Uncategorized
karen-gharara-set,"Pearl Work, Thread Embroidery, Swarovski","Georgette, Organza",Yellow,Gharara Set
lisa-tunic,Thread Embroidery,Georgette,Purple,Uncategorized
jennifer-kurta-set,Thread Embroidery,"Tussar, Georgette",Pink,Kurta Set
luna-kurta-set,Thread Embroidery,"Chanderi, Cotton, Organza",Blue,Kurta Set
iris-kurta-set,Swarovski,Georgette,Purple,Kurta Set
taylor-tunic,Swarovski,"Georgette, Organza",Blue,Tunic Set
clovia-tunic,"Applique Work, Thread Embroidery, Pearl Work",Munga,Beige,Tunic Set
bonne-kurta-set,"Applique Work, Thread Embroidery, Pearl Work, Sequin Embroidery","Tussar, Georgette, Mulmul",Blue,Kurta Set
rosemary-kurta-set,Sequin Embroidery,"Tussar, Georgette",Blue,Kurta Set
hezel-tunic-set,Sequin Embroidery,"Tussar, Georgette",Pink,Tunic Set
sara-skirt-top,"Swarovski, Sequin Embroidery","Silk, Organza",Blue,Skirt & Top
bobbie-tunic,Applique Work,Mulmul,Yellow,Uncategorized
jully-kurta-set,"Applique Work, Bead Work","Tussar, Georgette",Purple,Kurta Set
emilly-tunic-set,Applique Work,Mulmul,Blue,Tunic Set
ella-kurta-set,"Thread Embroidery, Bead Work","Tussar, Georgette, Organza",Pink,Kurta Set
myra-tunic,Thread Embroidery,Chanderi,Green,Uncategorized
zoe-tunic,Applique Work,"Silk, Organza",Blue,Uncategorized
ava-anarkali-set,Applique Work,"Mulmul, Organza",Yellow,Anarkali Set
florence-kurta-set,Applique Work,"Mulmul, Organza",Beige,Kurta Set
pakhi-kurta-set,"Gota Patti, Pearl Work, Zardozi Embroidery, Sequin Embroidery","Silk, Tussar",Uncategorized,Kurta Set
kuhu-kurta-set,"Banarasi, Thread Embroidery",Cotton,Yellow,Kurta Set
tama-kurta-set,Thread Embroidery,"Silk, Tussar",Black,Kurta Set
yalina-tunic-set,Thread Embroidery,"Silk, Tussar, Georgette",Uncategorized,Tunic Set
ismat-ara-kurta-set,Zardozi Embroidery,"Silk, Tussar, Georgette",Uncategorized,Kurta Set
fakhrun-nisa-gharara-set,"Zardozi Embroidery, Thread Embroidery","Silk, Tussar, Raw Silk, Tulle",Uncategorized,Gharara Set
shafna-anarkali-set,"Zardozi Embroidery, Thread Embroidery","Silk, Tussar",Uncategorized,Anarkali Set
amrin-kurta-set,Zardozi Embroidery,"Silk, Tussar, Georgette",Uncategorized,Kurta Set
parizad-lehenga-set,"Zardozi Embroidery, Applique Work","Raw Silk, Tulle",Uncategorized,Lehenga Set
samara-anarkali-set,Zardozi Embroidery,"Raw Silk, Georgette, Velvet, Tussar",Uncategorized,Anarkali Set
parigul-kurta-set,Zardozi Embroidery,"Raw Silk, Georgette",Green,Kurta Set
taskeen-kurta-set,Applique Work,"Silk, Tulle",Uncategorized,Kurta Set
ala-rasi-gharara-set,"Applique Work, Gota Patti","Raw Silk, Georgette, Organza, Tussar",Uncategorized,Gharara Set
rozhan-lehenga-set,Zardozi Embroidery,"Raw Silk, Organza",Uncategorized,Lehenga Set
firdaus-kurta-set,Applique Work,"Tussar Silk, Georgette, Organza",Uncategorized,Kurta Set
misha-gharara-set,"Applique Work, Mukaish Work","Tussar Silk, Georgette, Tulle",Uncategorized,Gharara Set
ara-kurta-set,Zardozi Embroidery,"Tussar Silk, Georgette, Tulle",Uncategorized,Kurta Set
gauhar-anarkali-set,"Zardozi Embroidery, Gota Patti","Cotton, Silk",Gold,Anarkali Set
aatisha-anarkali-set,Zardozi Embroidery,"Tussar Silk, Georgette",Gold,Anarkali Set
meski-anarkali-set,"Zardozi Embroidery, Gota Patti, Zari Work","Tussar Silk, Georgette",Gold,Anarkali Set
mahshar-anarkali-set,Thread Embroidery,"Tussar Silk, Georgette, Silk",Gold,Anarkali Set
nudrat-jumpsuit,Applique Work,Cotton,Uncategorized,Jumpsuit
shazma-kurta-set,"Applique Work, Thread Embroidery","Tussar Silk, Georgette, Tulle",Uncategorized,Kurta Set
kulsum-kurta-set,Thread Embroidery,"Tussar Silk, Cotton, Georgette",Uncategorized,Kurta Set
swiyyah-anarkali-set,Thread Embroidery,"Tussar Silk, Cotton",Uncategorized,Anarkali Set
gul-ilzar-kurta-set,Thread Embroidery,"Cotton, Organza",Black,Kurta Set
shinat-kurta-set,Thread Embroidery,"Tussar Silk, Georgette",Uncategorized,Kurta Set
kaureen-tunic,Thread Embroidery,"Tussar Silk, Georgette",Green,Tunic Set
nuwwar-anarkali-set,"Thread Embroidery, Cut Work","Cotton, Silk",White,Anarkali Set
aalin-tunic,"Applique Work, Thread Embroidery","Tussar, Georgette, Silk",Black,Uncategorized
maruff-tunic,Thread Embroidery,"Tussar, Silk, Georgette",Uncategorized,Tunic Set
nazveen-anarkali-set,Thread Embroidery,"Tussar, Silk",Uncategorized,Anarkali Set
farnaaz-tunic-set,Thread Embroidery,"Tussar, Georgette",Grey,Tunic Set
zaroob-tunic-set,"Thread Embroidery, Cut Work","Raw Silk, Tussar, Georgette",Uncategorized,Jacket Set
fayha-kurta-set,Thread Embroidery,"Tussar, Silk",Uncategorized,Kurta Set
zahab-anarkali-set,Thread Embroidery,"Raw Silk, Tulle, Banarasi",Uncategorized,Anarkali Set
shumaylah-anarkali-set,Dori Embroidery,Cotton,Uncategorized,Anarkali Set
zyva-kurta-set,Dori Embroidery,"Tussar, Silk",Uncategorized,Kurta Set
afshan-tunic,Dori Embroidery,"Tussar, Silk",Uncategorized,Uncategorized
guleen-anarkali-set,Thread Embroidery,"Tussar, Silk, Cotton",Uncategorized,Anarkali Set
y-a-l-i-n-a-tunic-set,Thread Embroidery,"Tussar, Silk",Uncategorized,Tunic Set
ruwa-kurta-set,Thread Embroidery,Raw Silk,Uncategorized,Kurta Set
masakali-kurta-set,Thread Embroidery,Tulle,Uncategorized,Kurta Set
aana-jumpsuit,Thread Embroidery,"Tussar, Silk",Black,Jumpsuit
tashreeh-anarkali-set,Dori Work,"Tussar, Silk",White,Anarkali Set
suri-dress,Thread Embroidery,"Tussar, Silk",Green,Dress
tarzia-kurta-set,"Cut Work, Thread Embroidery","Tussar, Silk",Grey,Kurta Set
gulnaaz-tunic,Thread Embroidery,"Tussar, Silk",Uncategorized,Tunic Set
mahroo-anarkali-set,Thread Embroidery,"Tussar, Silk",Grey,Anarkali Set
shirin-kurta-set,Thread Embroidery,Tussar Silk,Uncategorized,Kurta Set
golaleh-kurta-set,Thread Embroidery,Tussar Silk,Uncategorized,Kurta Set
sohi-anarkali-set,Thread Embroidery,Tussar Silk,Uncategorized,Anarkali Set
bousini-tunic,Thread Embroidery,Tussar Silk,Black,Tunic Set
omera-anarkali-set,"Thread Embroidery, Gota Patti",Tussar Silk,Uncategorized,Anarkali Set
mahya-kurta-set,Aari Work,Tussar Silk,Uncategorized,Kurta Set
qara-kurta-set,Aari Work,Tussar Silk,Uncategorized,Kurta Set
zuni-dress,Thread Embroidery,Tussar Silk,Grey,Dress
minou-tunic,Cut Work,Tussar Silk,White,Tunic Set
kiana-kurta-set,Thread Embroidery,Tussar Silk,Uncategorized,Kurta Set
maneli-anarkali-set,Aari Work,Tussar Silk,Green,Anarkali Set
maliih-anarkali-set,Aari Work,Cotton,White,Anarkali Set
daisha-anarkali-set,Thread Embroidery,Tussar Silk,White,Anarkali Set
farheen-tunic,Thread Embroidery,Tussar Silk,Uncategorized,Tunic Set
zainab-kurta-set,Thread Embroidery,Tussar Silk,Uncategorized,Kurta Set
abeera-jumpsuit,Thread Embroidery,Tussar Silk,Black,Jumpsuit
rahele-tunic,Thread Embroidery,Tussar Silk,Black,Tunic Set
veeda-kurta-set,Thread Embroidery,Tussar Silk,Grey,Kurta Set
lale-kurta-set,Thread Embroidery,"Tussar Silk, Organza",Uncategorized,Kurta Set
laela-anarkali-set,Thread Embroidery,Tussar Silk,Black,Anarkali Set
nehiza-kurta-set,Thread Embroidery,"Tussar, Georgette, Silk, Tulle",Uncategorized,Kurta Set
zuha-kurta-set,Thread Embroidery,"Cotton, Silk",Uncategorized,Kurta Set
nasrine-tunic,Thread Embroidery,"Cotton, Silk",White,Uncategorized
gulberg-anarkali-set,Thread Embroidery,"Tussar, Silk",Green,Anarkali Set
farva-anarkali-set,Thread Embroidery,"Tussar, Silk",Uncategorized,Anarkali Set
sadiya-tunic,Thread Embroidery,"Tussar, Georgette, Silk",Grey,Tunic Set
zaina-kurta-set,Thread Embroidery,"Tussar, Georgette, Silk",Uncategorized,Kurta Set
marzhan-anarkali-set,Dori Work,"Raw Silk, Cotton, Silk",Uncategorized,Anarkali Set
mehrin-tunic,Dori Work,"Tussar, Georgette, Silk",Green,Uncategorized
iffah-kurta-set,"Dori Work, Thread Embroidery","Tussar, Georgette, Silk",Uncategorized,Kurta Set
shahmir-anarkali-set,"Dori Work, Thread Embroidery","Tussar, Georgette, Silk",Uncategorized,Anarkali Set
paraisa-kurta-set,Thread Embroidery,"Cotton, Silk",Uncategorized,Kurta Set
pegah-tunic,Thread Embroidery,"Tussar, Georgette, Silk",White,Uncategorized
zeba-anarkali-set,Thread Embroidery,"Tussar, Georgette, Silk",Uncategorized,Anarkali Set
mehreen-anarkali-set,Zardozi Embroidery,"Tussar, Silk, Tulle, Velvet",Uncategorized,Anarkali Set
sumaiya-kurta-set,"Zardozi Embroidery, Applique Work","Tussar, Georgette, Silk, Banarasi",Uncategorized,Kurta Set
aroosa-lehenga-set,Zardozi Embroidery,"Raw Silk, Tulle",Uncategorized,Lehenga Set
nazgul-gharara-set,Zardozi Embroidery,"Tussar, Georgette, Silk, Tulle",Uncategorized,Gharara Set
majedah-anarkali-set,"Zardozi Embroidery, Applique Work","Raw Silk, Tulle",Uncategorized,Anarkali Set
naaz-lehenga-set,"Zardozi Embroidery, Dori Embroidery, Applique Work","Raw Silk, Organza, Silk",Uncategorized,Lehenga Set
zarafhan-kurta-set,Zardozi Embroidery,Cotton,White,Kurta Set
eaheh-gharara-set,Zardozi Embroidery,"Tussar, Silk, Georgette, Organza",Uncategorized,Gharara Set
sanaz-anarkali-set,Zardozi Embroidery,"Tussar, Silk, Georgette, Tulle",Uncategorized,Anarkali Set
farideh-anarkali-set,Zardozi Embroidery,"Raw Silk, Georgette, Organza",Uncategorized,Anarkali Set
narmin-kurta-set,Zardozi Embroidery,"Raw Silk, Georgette, Tulle",Uncategorized,Kurta Set
jahan-tunic-set,Zardozi Embroidery,"Raw Silk, Georgette",Uncategorized,Tunic Set
fidda-kurta-set,Zardozi Embroidery,"Cotton, Tulle",Uncategorized,Kurta Set
nazveen-lehenga-set,Zardozi Embroidery,"Raw Silk, Organza",Uncategorized,Lehenga Set
afshaneh-kurta-set,Zardozi Embroidery,"Tussar, Silk, Georgette, Tulle",Uncategorized,Kurta Set
fereena-anarkali-set,Zardozi Embroidery,"Tussar, Silk",Green,Anarkali Set
bano-lehenga-set,Zardozi Embroidery,"Raw Silk, Organza, Tulle",Uncategorized,Lehenga Set
laiba-saree,Thread Embroidery,"Banarasi, Georgette, Raw Silk, Tussar",Uncategorized,Saree Set
muazzaz-saree,Zardozi Embroidery,"Tussar, Silk, Raw Silk",Black,Saree Set
zonera-saree,Zardozi Embroidery,"Tussar, Silk, Georgette, Raw Silk",Black,Saree Set
ansa-saree,"Zardozi Embroidery, Applique Work","Silk, Georgette, Raw Silk",White,Saree Set
bahira-saree,"Zardozi Embroidery, Mukaish Work, Applique Work","Tulle, Raw Silk",White,Saree Set
marget-saree,"Zardozi Embroidery, Applique Work","Silk, Georgette, Raw Silk",White,Saree Set
naghmah-saree,Zardozi Embroidery,"Silk, Georgette, Raw Silk",Green,Saree Set
naazneen-saree,Zardozi Embroidery,"Silk, Georgette, Raw Silk",Black,Saree Set
jahanara-anarkali-set,"Thread Embroidery, Zari Work",Cotton,Uncategorized,Anarkali Set
furozan-tunic-set,Applique Work,Cotton,Uncategorized,Tunic Set
mohwish-tunic-set,Applique Work,Cotton,Uncategorized,Tunic Set
paisley-kurta-set,Dori Work,Cotton,Uncategorized,Kurta Set
kashida-jumpsuit,Applique Work,Linen,Uncategorized,Jumpsuit
hushaima-anarkali-set,Applique Work,Cotton,Uncategorized,Anarkali Set
daania-tunic,Applique Work,"Cotton, Jute",Uncategorized,Tunic Set
nisreen-anarkali-set,Thread Embroidery,Cotton,Uncategorized,Anarkali Set
sharleez-kurta-set,Thread Embroidery,"Cotton, Organza, Silk",Uncategorized,Kurta Set
zuhur-tunic,Thread Embroidery,Cotton,Uncategorized,Tunic Set
safun-anarkali-set,Thread Embroidery,Cotton,Uncategorized,Anarkali Set
azmina-kurta-set,Thread Embroidery,Cotton,Uncategorized,Kurta Set
zahoor-tunic,Dori Work,Linen,Uncategorized,Uncategorized
ruhab-tunic-set,Dori Work,Cotton,Uncategorized,Tunic Set
adeeba-tunic,Cut Work,Linen,Uncategorized,Tunic Set
shiya-tunic,Cut Work,Linen,Uncategorized,Uncategorized
sanaz-kurta-set,Cut Work,Linen,Uncategorized,Kurta Set
shyna-kurta-set,Cut Work,Cotton,Uncategorized,Kurta Set
sifa-tunic-set,Thread Embroidery,Cotton,Uncategorized,Tunic Set
karimah-kurta-set,Thread Embroidery,Cotton,Uncategorized,Kurta Set
ubah-tunic-set,Thread Embroidery,Linen,Uncategorized,Tunic Set
ersheen-saree,Applique Work,Linen,Uncategorized,Saree Set
ada-saree,Sequin Embroidery,Tulle,Uncategorized,Saree Set
kowaish-saree,Bead Work,"Organza, Silk",Uncategorized,Saree Set
nohreen-sharara-set,Thread Embroidery,Raw Silk,Uncategorized,Sharara Set
gule-rana-gharara-set,Bead Work,"Organza, Silk, Tulle",Uncategorized,Gharara Set
rajeeyah-anarkali-set,"Thread Embroidery, Zari Work, Pearl Work, Sequin Embroidery",Linen,Uncategorized,Anarkali Set
maahnoor-lehenga-set,"Thread Embroidery, Zari Work","Organza, Silk",Uncategorized,Lehenga Set
fakeehah-jumpsuit,"Pearl Work, Bead Work","Georgette, Silk",Uncategorized,Jumpsuit
chandani-kurta-set,Applique Work,"Organza, Silk, Tulle",Uncategorized,Kurta Set
benazir-lehenga-set,"Applique Work, Zari Work","Raw Silk, Tulle",Uncategorized,Lehenga Set
azzahra-anarkali-set,"Thread Embroidery, Zari Work",Cotton,Green,Anarkali Set
aasia-kurta-set,"Thread Embroidery, Zari Work",Linen,"Blue, White",Kurta Set
dina-tunic,"Thread Embroidery, Zari Work",Linen,"Yellow, White",Tunic Set
forum-tunic,Thread Embroidery,Linen,White,Uncategorized
riza-kurta-set,Thread Embroidery,Linen,Yellow,Kurta Set
aini-kurta-set,Thread Embroidery,Cotton,Pink,Kurta Set
basimah-tunic-set,Thread Embroidery,Linen,"Pink, White",Tunic Set
yara-anarkali-set,Thread Embroidery,Linen,Grey,Anarkali Set
palakasi-kurta-set,Thread Embroidery,Cotton,Uncategorized,Kurta Set
yasna-kurta-set,Thread Embroidery,Linen,Blue,Kurta Set
pariyat-tunic,Thread Embroidery,Cotton,Green,Tunic Set
zahra-anarkali-set,Thread Embroidery,Cotton,Yellow,Anarkali Set
safaa-dress,Dori Work,Linen,White,Dress
majidah-kurta-set,Dori Work,Linen,Pink,Kurta Set
saffiya-kurta-set,Dori Work,Linen,Blue,Kurta Set
bahameen-kurta-set,Thread Embroidery,Linen,"Grey, Yellow",Kurta Set
aazeen-dress,Thread Embroidery,Cotton,Green,Dress
daneen-anarkali-set,Thread Embroidery,Cotton,White,Anarkali Set
basheera-tunic,Thread Embroidery,Linen,Grey,Uncategorized
rua-jumpsuit,Thread Embroidery,Linen,Uncategorized,Jumpsuit
posh-kurta-set,Thread Embroidery,Linen,White,Kurta Set
rimsha-saree,"Applique Work, Zardoz","Organza, Silk",Grey,Saree Set
fakihrah-saree,Zardoz,Cotton,White,Saree Set
qirat-saree,Zardoz,Organza,"Green, White",Saree Set
nazneen-kurta-set,Zardoz,Linen,White,Kurta Set
aairah-kurta-set,Zardoz,"Organza, Silk",Peach,Kurta Set
namra-gharara-set,Zardoz,"Linen, Banarasi","Blue, Pink",Gharara Set
sonth-sharara-set,Applique Work,"Linen, Organza, Tissue",Pink,Sharara Set
kunza-anarkali-set,Applique Work,"Organza, Silk",Grey,Anarkali Set
hoor-skirt-top,Thread Embroidery,"Organza, Satin, Silk","Yellow, White",Skirt & Top
sahiba-lehenga-set,"Zardozi Embroidery, Zari Work, Gota Patti, Thread Embroidery","Silk, Organza, Tissue",Uncategorized,Lehenga Set
hannah-anarkali-set,Thread Embroidery,"Cotton, Jute, Linen",Grey,Anarkali Set
sahina-sharara-set,"Thread Embroidery, Zari Work","Linen, Cotton, Tulle",White,Sharara Set
raima-kurta-set,"Dori Work, Thread Embroidery","Linen, Tulle",White,Kurta Set
gulrez-tunic,"Dori Work, Thread Embroidery",Linen,Pink,Uncategorized
laiha-anarkali-set,"Dori Work, Thread Embroidery","Cotton, Tulle",Yellow,Anarkali Set
eliza-kurta-set,"Zari Work, Thread Embroidery","Cotton, Tulle",Pink,Kurta Set
kalila-tunic,"Zari Work, Thread Embroidery",Cotton,Yellow,Uncategorized
inaya-anarkali-set,"Zari Work, Thread Embroidery","Cotton, Tulle",Green,Anarkali Set
shaza-tunic-set,Thread Embroidery,Linen,White,Tunic Set
ushna-kurta-set,Thread Embroidery,"Cotton, Tulle",Yellow,Kurta Set
sheena-anarkali-set,"Zari Work, Thread Embroidery","Cotton, Tulle",Green,Anarkali Set
zuha-tunic-set,"Zari Work, Thread Embroidery, Sequin Embroidery",Linen,Blue,Tunic Set
ramisa-anarkali-set,"Zari Work, Thread Embroidery","Cotton, Tulle",White,Anarkali Set
lubina-tunic,Thread Embroidery,"Cotton, Silk",Green,Uncategorized
izna-kurta-set,Thread Embroidery,"Cotton, Jute, Tulle",Grey,Kurta Set
pouneh-jumpsuit,Thread Embroidery,Linen,Blue,Jumpsuit
fizza-anarkali-set,Thread Embroidery,"Linen, Tulle",White,Anarkali Set
asin-tunic,"Zari Work, Thread Embroidery","Silk, Organza",Grey,Tunic Set
saleena-anarkali-set,"Zari Work, Thread Embroidery, Applique Work","Cotton, Crepe, Tulle",Pink,Anarkali Set
juhi-saree,Zardozi Embroidery,"Georgette, Raw Silk",Pink,Saree Set
faryal-saree,"Zardozi Embroidery, Gota Patti","Georgette, Organza, Raw Silk",Grey,Saree Set
naveda-saree,Zardozi Embroidery,Cotton,"Yellow, White",Saree Set
nura-anarkali-set,Zardozi Embroidery,"Organza, Tulle",White,Anarkali Set
banaah-anarkali-set,Zardozi Embroidery,"Cotton, Tulle",Blue,Anarkali Set
qamara-kurta-set,Zardozi Embroidery,Georgette,Green,Kurta Set
zaina-sharara-set,Zardozi Embroidery,Organza,Grey,Sharara Set
maida-skirt-top,Zardozi Embroidery,"Linen, Organza",White,Skirt & Top
somaya-sharara-set,"Zardozi Embroidery, Zari Work",Cotton,Yellow,Sharara Set
zaniah-sharara-set,"Zardozi Embroidery, Zari Work","Organza, Tulle",Pink,Sharara Set
ranya-lehenga-set,"Zardozi Embroidery, Gota Patti, Applique Work","Organza, Tulle",Pink,Lehenga Set
deeba-kurta-set,"Thread Embroidery, Zari Work",Silk,Blue,Kurta Set
anandita-anarkali-set,"Thread Embroidery, Zari Work",Mulmul,Red,Anarkali Set
asmi-kurta-set,"Thread Embroidery, Zari Work",Silk,"Green, Beige",Kurta Set
kaina-tunic,"Thread Embroidery, Zari Work",Silk,Pink,Tunic Set
haritha-anarkali-set,Banarasi,Cotton,"Green, Red",Anarkali Set
aswika-kurta-set,Dori Embroidery,Silk,Pink,Kurta Set
awani-tunic,Dori Embroidery,Silk,Beige,Tunic Set
dyathi-kurta-set,Dori Embroidery,Mulmul,"Yellow, Beige",Kurta Set
drisana-tunic,Thread Embroidery,Silk,Red,Tunic Set
bhupali-kurta-set,Thread Embroidery,Mulmul,Black,Kurta Set
dakini-anarkali-set,Thread Embroidery,Mulmul,Blue,Anarkali Set
mitali-tunic,Zari Work,Mulmul,Black,Uncategorized
raagini-gharara-set,Zari Work,Cotton,Yellow,Gharara Set
amodini-tunic,Zari Work,Mulmul,Beige,Tunic Set
suvarna-kurta-set,Zari Work,Mulmul,Red,Kurta Set
charvi-tunic,Thread Embroidery,Mulmul,Blue,Uncategorized
kumuda-kurta-set,Thread Embroidery,Tussar Silk,Yellow,Kurta Set
anamitra-kurta-set,Thread Embroidery,Mulmul,Yellow,Kurta Set
annan-kurta-set,Kasab,Mulmul,Uncategorized,Kurta Set
chandana-kurta-set,Kasab,Cotton,Uncategorized,Kurta Set
amrapali-anarkali-set,Kasab,Tussar Silk,"Green, Beige",Anarkali Set
kajri-saree,Zardozi Embroidery,Raw Silk,Black,Saree Set
purnima-lehenga-set,Banarasi,Tissue,Pink,Lehenga Set
ayati-kurta-set,Zardozi Embroidery,Tussar Silk,Blue,Kurta Set
nandini-gharara-set,Zardozi Embroidery,Silk,Beige,Gharara Set
manjari-lehenga-set,Banarasi,Uncategorized,Uncategorized,Lehenga Set
paawani-kurta-set,Zardozi Embroidery,Silk,Uncategorized,Kurta Set
kashvi-anarkali-set,Zardozi Embroidery,Tussar Silk,Uncategorized,Anarkali Set
bhumi-anarkali-set,"Zardozi Embroidery, Gota Patti",Raw Silk,Uncategorized,Anarkali Set
amala-kurta-set,Zardozi Embroidery,"Silk, Organza",Uncategorized,Kurta Set
anamitra-lehenga-set,Zari Work,"Banarasi, Tissue, Cotton, Organza",White,Lehenga Set
kusumina-kurta-set,Zardozi Embroidery,"Tussar, Silk, Banarasi",Uncategorized,Kurta Set
neelima-anarkali-set,"Gota Patti, Zardozi Embroidery","Mulmul, Georgette",Uncategorized,Anarkali Set
bodhi-anarkali-set,"Applique Work, Dori Embroidery",Mulmul,Beige,Anarkali Set
ishira-tunic,Thread Embroidery,"Tussar, Silk",Red,Uncategorized
kanchi-tunic,Thread Embroidery,Cotton,Beige,Uncategorized
keer-anarkali-set,Thread Embroidery,"Tussar, Silk",Red,Anarkali Set
nitara-anarkali-set,"Zari Work, Thread Embroidery",Mulmul,Yellow,Anarkali Set
irika-tunic,"Zari Work, Thread Embroidery",Cotton,"Green, Beige",Uncategorized
dhuni-sharara-set,"Zari Work, Thread Embroidery","Tussar, Silk",Blue,Sharara Set
mili-kurta-set,Thread Embroidery,"Cotton, Banarasi",Blue,Kurta Set
sini-anarkali-set,"Applique Work, Thread Embroidery","Tussar, Silk",Red,Anarkali Set
aheli-anarkali-set,"Applique Work, Thread Embroidery",Cotton,Green,Anarkali Set
navini-tunic,"Applique Work, Thread Embroidery",Cotton,Black,Uncategorized
edha-kurta-set,"Applique Work, Thread Embroidery",Cotton,Pink,Kurta Set
malak-anarkali-set,Thread Embroidery,Cotton,Pink,Anarkali Set
misri-tunic,Thread Embroidery,Cotton,Beige,Uncategorized
taani-saree,"Zardozi Embroidery, Thread Embroidery","Silk, Organza, Kora",Beige,Saree Set
osha-saree,"Pearl Work, Zardozi Embroidery, Zari Work, Sequin Embroidery","Georgette, Silk, Banarasi","Yellow, Beige, Gold",Saree Set
para-saree,Zardozi Embroidery,"Mulmul, Cotton",Black,Saree Set
vaari-saree,Gota Patti,"Tissue, Silk, Banarasi","Beige, Black",Saree Set
jhalak-kurta-set,"Zardozi Embroidery, Thread Embroidery",Raw Silk,Blue,Kurta Set
shonee-anarkali-set,"Zardozi Embroidery, Thread Embroidery","Silk, Tussar","Pink, Yellow",Anarkali Set
jalsa-anarkali-set,Zardozi Embroidery,Mulmul,Black,Anarkali Set
hemal-kurta-set,Zardozi Embroidery,Raw Silk,Yellow,Kurta Set
kyra-anarkali-set,Thread Embroidery,"Organza, Silk","Beige, Black",Anarkali Set
paro-lehenga-set,Zari Work,"Munga, Tussar","Gold, Red, Beige",Lehenga Set
josha-lehenga-set,"Banarasi, Zardozi Embroidery",Banarasi,"Blue, Beige",Lehenga Set
lohita-kurta-set,"Gota Patti, Zardozi Embroidery",Cotton,"Red, Beige",Kurta Set
kosha-sharara-set,"Gota Patti, Zardozi Embroidery","Cotton, Organza",Green,Sharara Set
sara-anarkali-set,"Zardozi Embroidery, Dori Embroidery, Zari Work",Mulmul,Red,Anarkali Set
heer-lehenga-set,"Zardozi Embroidery, Dori Embroidery, Zari Work","Raw Silk, Organza",Gold,Lehenga Set
badra-anarkali-set,"Zardozi Embroidery, Dabka Work, Sequin Embroidery",Cotton,Beige,Anarkali Set
sampa-sharara-set,"Thread Embroidery, Zari Work","Silk, Tussar","Pink, Beige",Sharara Set
jhilmil-skirt-top,"Zardozi Embroidery, Dabka Work, Bead Work, Sequin Embroidery",Banarasi,Green,Skirt & Top
mahi-kurta-set,"Thread Embroidery, Zari Work","Silk, Tussar",Yellow,Kurta Set
mishita-anarkali-set,Thread Embroidery,Cotton,Green,Anarkali Set
hejal-anarkali-set,"Thread Embroidery, Zari Work",Cotton,Pink,Anarkali Set
falisha-anarkali-set,"Thread Embroidery, Zari Work","Cotton, Organza, Silk",Beige,Anarkali Set
anmi-kurta-set,Thread Embroidery,Tussar Silk,Uncategorized,Kurta Set
aaravi-kurta-set,"Thread Embroidery, Zari Work",Tussar Silk,Black,Kurta Set
harrah-kurta-set,"Thread Embroidery, Zari Work","Mulmul, Cotton",Red,Kurta Set
kautik-kurta-set,"Thread Embroidery, Zari Work",Cotton,Beige,Kurta Set
kavin-anarkali-set,"Thread Embroidery, Zari Work",Mulmul,Blue,Anarkali Set
raanu-anarkali-set,"Thread Embroidery, Zari Work",Mulmul,Yellow,Anarkali Set
nili-anarkali-set,"Thread Embroidery, Zari Work","Mulmul, Cotton",Blue,Anarkali Set
paneri-anarkali-set,"Thread Embroidery, Zari Work","Mulmul, Cotton",Red,Anarkali Set
kiyara-tunic,"Thread Embroidery, Zari Work","Mulmul, Cotton",Red,Uncategorized
eeha-tunic,"Thread Embroidery, Zari Work","Mulmul, Cotton",Blue,Uncategorized
hiranya-tunic,"Thread Embroidery, Zari Work",Cotton,Beige,Tunic Set
aashi-tunic,"Thread Embroidery, Zari Work","Mulmul, Cotton",Pink,Uncategorized
hetal-tunic,"Thread Embroidery, Zari Work","Mulmul, Cotton",Yellow,Uncategorized
eti-tunic,"Thread Embroidery, Gota Patti",Tussar Silk,Black,Uncategorized
sware-saree,Zardozi Embroidery,"Georgette, Silk",Pink,Saree Set
bhargavi-saree,Zardozi Embroidery,"Georgette, Silk",Black,Saree Set
kaina-lehenga-set,"Applique Work, Zari Work, Gota Patti, Banarasi",Banarasi,"Yellow, Beige",Lehenga Set
chandrabha-anarkali-set,"Zardozi Embroidery, Dori Embroidery, Zari Work",Cotton,Beige,Anarkali Set
anaya-anarkali-set,"Zardozi Embroidery, Zari Work, Cut Work",Tussar Silk,Black,Anarkali Set
alomika-gharara-set,"Zardozi Embroidery, Dori Embroidery, Zari Work","Organza, Silk","Blue, Beige",Gharara Set
ila-kurta-set,Zardozi Embroidery,"Cotton, Organza",Beige,Kurta Set
anila-anarkali-set,Zardozi Embroidery,"Tussar, Cotton",Beige,Anarkali Set
rati-kurta-set,Zardozi Embroidery,"Silk, Organza, Tussar","Pink, Beige",Kurta Set
harshi-anarkali-set,"Zardozi Embroidery, Dori Embroidery","Silk, Organza, Kora",Red,Anarkali Set
indira-kurta-set,Zardozi Embroidery,"Raw Silk, Kora","Yellow, Silver",Kurta Set
