Handle,craft,fabric,color,Product Types
sara-kaftan-pink,"Embroidery, Swarovski, Pearl Work",Georgette,"Pink, White",Kaftan Set
sara-kaftan-blue,"Embroidery, Swarovski, Pearl Work",Georgette,"Blue, White",Kaftan Set
noor-anarkali-set-green,"Embroidery, Swarovski",Organza,"Green, White",Kurta Set
noor-anarkali-set-ivory,"Embroidery, Swarovski",Organza,White,Anarkali Set
utsav-kuhu-kurta-set,"Zari Work, Dabka Work","Raw Silk, Georgette",Black,Kurta Set
utsav-mogra-kurta-set,"Applique, Sequin Embroidery",Raw Silk,"Blue, Yellow",Kurta Set
brinda-lehenga-set,"Zari Work, Sequin Embroidery",Organza,"Black, Gold",Lehenga Set
kanan-lehenga-set,"Applique, Sequin Embroidery","Raw Silk, Organza",Peach,Lehenga Set
soni-suit,"Zari Work, Sequin Embroidery","Raw Silk, Organza",Grey,Kurta Set
paru-suit,Zari Work,Raw Silk,Yellow,Kurta Set
radha-lehenga-set,Zari Work,"Tissue, Raw Silk, Organza","Red, Beige, Green",Lehenga Set
sayali-lehenga-set,Zari Work,"Tissue, Raw Silk, Tulle",Grey,Lehenga Set
panna-kurta-set,Zari Work,"Raw Silk, Crepe","Red, Green, Gold",Kurta Set
raina-suit,"Resham Embroidery, Pearl Work, Sequin Embroidery","Georgette, Crepe",Black,Kurta Set
pihu-anarkali-set,"Resham Embroidery, Pearl Work, Sequin Embroidery",Raw Silk,Purple,Anarkali Set
yasi-anarkali-set,Zari Work,"Silk, Organza, Crepe",Grey,Anarkali Set
minal-suit,Embroidery,"Raw Silk, Organza","Green, Peach",Kurta Set
amoli-suit,Zari Embroidery,"Raw Silk, Tulle, Crepe","Blue, Grey",Kurta Set
parthi-jacket-set,"Zari Work, Dabka Work",Raw Silk,Blue,Jacket Set
shachi-suit,Zari Work,"Raw Silk, Organza",Yellow,Kurta Set
maanvi-suit,Zardozi Embroidery,"Raw Silk, Tissue",Red,Kurta Set
kumkum-lehenga-set,Aari Work,"Banarasi Tissue, Raw Silk, Organza",Red,Lehenga Set
mehndi-lehenga-set,Zari Work,"Banarasi Tissue, Raw Silk, Organza",Green,Lehenga Set
